School Name,Address,Phone number
SARDAR DASTUR PRIMARY SCHOOL,TARAPORE ROAD PUNE - 01,-1
SARFARE SMT LATE V ,51 RAMNAGAR SOC PUNE.,4117936
SAU GULABBAI KATARIYA PRATHMIK VIDYA MANDIR,272 PARVATI PUNE.,4444939
SFS SCHOOL SHAANWADI,46/2 VADGAOSHERI PUNE.,7030009
SHANKARRAO MORE VIDYALAY,"B V MARG,ERANDWANA PUNE - 38",-1
"
SHETH HIRALAL SARAF
PRASHALA","784, BUDHWAR PETH, PUNE - 41100",-1
SHIKSHAN ORASARAK MANDALS ENGLISH SCHOOL,S P COLLEGE COMPOUND PUNE.,4331955
SHINDE HIGH SCHOOL,ARANYESHWAR PARVATI SHAHU RD PUNE - 09,-1
SHIVBHOMI VIDYALAYA,NIGDI PUNE - 44,7470117
SHRI FATECHAND JAIN KANYA SHALA,CHINCHWADGAON PUNE - 33,-1
SHRI FATECHAND JAIN VIDYALAYA BOYS,CHINCHWAD GAON PUNE - 33,-1
SHRI GOPAL HIGH SCHOOL,1347/B SADASHIV PETH PUNE - 30,-1
SHRI SANT TUKARAM,LOHEGAON PUNE - 32,-1
SHRI SHIVAJI MARATHA JIJAMATA  GIRLS SCHOOL,425 SHUKRAWAR PETH PUNE,4470795 
SHRI SHIVAJI MARATHA HIGH SCHOOL,425 SHUKRAWAR PETH PUNE,4473943 
SHRI SHIVAJI MARATHA SOC,425 SHUKRAWAR PETH PUNE,4471687 
SHRI SHIVAJI MARATHA SCHOOL,425 SHUKRAWAR PETH PUNE,4487519 
SHRI SHIVAJI PROP. MILITARY SECONDARY,5 KENNEDY RD PUNE,6123938
SHRI SHIVAJI PROP. MILITARY SECONDARY ,KONDAWA RD,123940 
SHRI SHIVAJI VIDYA MANDIR,AUNDH PUNE - 09,-1
SHRI TECHNICAL EDUCATION SOCIETY,463 NARAYAN PETH PUNE.,4450690
SHRI VIJAY VALLABH SCHOOL,111/114/A BHAWANI PETH PUNE - 42,-1
SHRIMATI GODAVARI HINDI VIDYALAY,BOMBAY PUNE RD CHINCHWAD PUNE -19,-1
SIDHESHWAR HIGH SCHOOL,212/13 DIGHI RD PUNE - 39,-1
SIKKIBAI DHARMANI HIGH SCHOOL PH : 7464829,NEAR SADHU VASWANI GARDEN PIMPRI PUNE - 17,-1
SINHAGAD TECH EDUCATIONS,44/1 VADGAON Budruk,"4341573,4359373"
SL RASTE PRATHIMAK VIDYALAY ,RASTA PETH PUNE-11,6137056
SM CHOKSEY HIGH SCHOOL/JUNIOR COLLE,1983 CONUENT STREET PUNE -  01,-1
SM JOSHI HINDI SCHOOL,1 POOL GATE PUNE - 01,-1
"SNDT KANYASHALA PHONE : 4466273,4459278",591 NARAYAN PETH PUNE.,-1
SOU SUSHILABAI VIRKAR ADARSH BOYS,1367/88 SHUKRAWAR PETH PUNE - 02,-1
SOUTHERN COMMAND SCHOOL,SOUTHERN COMMAND WANOWRIE PUNE - 40,-1
"
SPM ENGLISH SCHGOOL 
PuneDiary.Com",1658 SADASHIV PETH PUNE.,4321988 
SPM ENGLISH MEDIUM,TILAK ROAD PUNE - 30,-1
SRI SHIVAJI PREPARATORY MILITARY,"55/56 SHIVAJI NAGAR,NEAR SHIVAJI PUNE - 05",-1
SS JAIN VIDYALAYA,844 BHANDARKAR INSTT RD PUNE - 04,-1
SSPM PRIMARY DAY SCHOOL,KENNEDY RD PUNE - 01,-1
SSPM SECONDARY DAY SCHOOL,KENNEDY ROAD PUNE - 01,-1
T ANDREW'S HIGH SCHOOL ,1 SYNAGOGUE STREE PUNE,6134984
ST ANDREWS HIGH SCHOOL,CHINCHWAD WEST PUNE - 19,-1
ST ANNE'S SCHOOL,41 TLWDE PUNE.,7690519
"
ST ANNE HIGH SCHOOL PHONE :
26334929 ",1998 CONVENT STREET Camp,6340840
ST ANTHONY SCHOOL,SOLAPUR BAZAR PUNE - 01,7690519
"
ST CLARES GIRLS SCHOOL",QUATER GATE NANA PETH PUNE - 02,-1
ST FELIX HIGH SCHOOL,4 BOAT CLUB ROAD PUNE - 01,6128693
ST FRANCIS SCHOOL,25/2 TANAJI WADI PUNE - 05,-1
ST HELENAS SCHOOL/JUNIOR COLLEGE,8 SUSEE SORABJE ROAD PUNE ,6124384
ST HELENAS SCHOOL,8 SORABJI RD PUNE.,6126796
ST HILDAS HIGH SCHOOL,"PANCH HAUD,6 GURUWAR PETH PUNE - 42",-1
ST JOHN'S SECONDARY SCHOOL,1993 CONVENT STREET PUNE,6341087
ST JOSEPH CONVENT SCHOOL,PASHAN ROAD PASHAN PUNE - 08,-1
ST JOSEPH HIGH SCHOOL,KHADKI PUNE - 03,5813325
ST JOSEPH INSTITUTE OF TECHNOLOGY,314A/64 SOLAPUR Rd. PUNE.,6811476
ST JOSEPH CONVENT GIRLS SCHOOL,36 BURR ROAD KHADKI,5822141
ST JOSEPH PRIMARY SCHOOL,GHORPADE,6360105
ST JOSEPH NIGHT HIGH SCHOOL,2006 ST VINCENT STREET PUNE.,6340554
ST MARY SCHOOL,BHAGAT MARG PUNE - 01,-1
ST MIRAS HIGH SCHOOL PHONE : 61222270,10 VASWANI ROAD PUNE - 01,"6127841,"
ST MIRAS PRIMARY SCHOOL,SADHU VASWANI CHOWK PUNE,6119569
ST MIRAS HIGH SCHOOL,STAVELY ROAD PUNE.,356282 
ST MIRAS HIGH SCHOOL,5 B GEN BHAGAT MARG PUNE,6341393
ST MIRAS HIGH SCHOOL,5-B G T ROAD PUNE,332200
ST PAULS NURSERY & PREPARATORY,OPP GPO 2 CHURCH ROAD PUNE - 01,-1
ST PATRICKS PRIMARY SCHOOL ,1B PRINCE OF WALES DRIVE PUNE. PH: 6362521 ,-1
ST PATRICKS HIGH SCHOOL ,1B PRINCE OF WALES DRIVE PUNE. PH: 6335202,-1
ST PETER'S EDU SOC ,MANISHA PK KONDAWA (KD) PUNE.PH: 6931319,-1
ST PETER'S EDU SOC ,BHAGYODAYA NAGAR KONDAWAPUNE.PH: 6830446,-1
ST THOMAS SCHOOL,1 GURUWAR PETH PUNE - 30,-1
ST URSALA SCHOOL,AKURDI PUNE - 35,"652669,7651666"
"
ST VINCENTS HIGH SCHOOL",2005/2006 VINCENT STREET PUNE PH: 6352135 ,-1
ST XAVIERS SCHOOL,CHINCHWAD PUNE - 19,-1
"
STELLA MARIES SCHOOL",VADGOAN SHERI PUNE - 411014 ,-1
SUBODH SHIKSHAN SANSTHA,SAMBAJI NAGAR CHINCHWAD PUNE. PH: 7459182 ,-1
SUHRUD MANDAL,"805, SMRUTI, BHANDARKAR RD PUNE - 04",-1
SUNDARBHAI RATHI HIGH SCHOOL,LAXMI ROAD PUNE - 30,-1
SUNGRACE SCHOOL,SALUNKE VIHAR RD PUNE - 48,-1
SV UNION PRIMARY SCHOOL,322 SOMEWAR PETH PUNE,124816
SVC HIGH SCHOOL,7 FOLLOWERS RD PUNE - 03,-1
SWAMI VIVEKANADVIDYA MANDIR,87 DAPODI PUNE - 12,-1
SYMBIOSIS NURSERY SCHOOL/SPA,15TH LANE PRABHAT ROAD PUNE - 04,-1
THE BISHOPS SCHOOL,5A GEN BHAGAT MARG PUNE - 01,-1
TILAK MAHARASHTRA VIDYAPEETH GULTEKADI,PUNE,"4266068, 4266700,4271695,4267888"
TILAK MAHARASHTRA VIDYAPEETH,MUKUND NAGAR PUNE.,4268974
TILAK MAHARASHTRA VIDYAPEETH,T M V COLY GULTAKADE PUNE.,4267508
TILAK MAHARASHTRA VIDYAPEETH,MAIN BLDG GULTAKADE PUNE,4261856
TRINITY EDUCATION SOCY,AKURDI PUNE.,7657569
VEER METAJI PALKAR HIGH SCHOOL,POLICE HEAD QUARTER SHIVAJINAGAR PUNE - 05,-1
VIDYA BHAVAN SCHOOL,MODEL COLONY PUNE - 16,-1
VIDYA VIKAS VIDYALAYA ,76/81 SAHAKARNAGAR PUNE.,4222259
VIDYA VIKAS VIDYALAYA PRASHALA,2190/2191 SAHAKARNAGAR PUNE.,4228122
VIKAS VIDYA MANDIR PHONE : 7486500,126/8 SHAHU NAGAR CHINCHWAD PUNE - 19,-1
VIKAS VIDYA MANDIR PHONE : 7475245,126/8 MOHAN NAGAR CHINCHWAD PUNE - 19,-1
VIMAL VIDYAKUNJ SCHOOL,JAIL RD YERWADA PUNE - 29,-1
VIMAL VIDYAKUNJ SCHOOL,GIRISH SOC VARJE PUNE.,5230674
VINAYKUMAR RUIA MUKBADHIR VIDYALAYA,PHONE : 433382,4333828
VINAY PRIMARY SCHOOL,381/13 BHAWANI PETH PUNE - 42,-1
VISHNUPANT GANGADHAR SCHOOL,272 PARVATI PUNE - 16,-1
"VISHWAKARMA VIDYALAYA ENGLISH & MARATHI
MEDIUM SCHOOL ","666, UPPER INDIRANAGAR BIBVEWADI PUNE-37",-1
"VISHWAKARMA VIDYALAYA MARATHI SECONDARY &
HIGHER SECONDARY JR.COLLEGE","666, UPPER INDIRANAGAR BIBVEWADI PUNE-37",-1
YERWADA INDUSTRIAL SCHOOL,YERWADA PUNE - 06,-1
MCA GCM SCHOOL, ARJUN MARG PUNE,6349902
